timestamp,dataset,subset_ratio,prune_threshold,test_auc,watermark_auc
2025-07-11T20:15:05.368194,C-ELEGANS,0.05,0.001,0.504,0.6945
2025-07-11T20:15:16.261293,C-ELEGANS,0.05,0.01,0.4972,0.6857
2025-07-11T20:15:26.671049,C-ELEGANS,0.05,0.05,0.426,0.7341
2025-07-11T20:15:36.899849,C-ELEGANS,0.05,0.1,0.6624,0.2725
2025-07-11T20:15:47.336565,C-ELEGANS,0.05,0.2,0.5,0.5
2025-07-11T20:15:58.536104,C-ELEGANS,0.1,0.001,0.6106,0.2681
2025-07-11T20:16:10.204879,C-ELEGANS,0.1,0.01,0.58,0.5071
2025-07-11T20:16:21.246594,C-ELEGANS,0.1,0.05,0.5776,0.581
2025-07-11T20:16:31.760392,C-ELEGANS,0.1,0.1,0.556,0.3149
2025-07-11T20:16:43.319242,C-ELEGANS,0.1,0.2,0.5,0.5
2025-07-11T20:16:54.877416,C-ELEGANS,0.2,0.001,0.3881,0.7847
2025-07-11T20:17:05.460920,C-ELEGANS,0.2,0.01,0.4248,0.7419
2025-07-11T20:17:17.622881,C-ELEGANS,0.2,0.05,0.4121,0.7734
2025-07-11T20:17:28.782624,C-ELEGANS,0.2,0.1,0.4771,0.6772
2025-07-11T20:17:40.162918,C-ELEGANS,0.2,0.2,0.5,0.5
2025-07-11T20:17:51.220920,C-ELEGANS,0.3,0.001,0.5842,0.7138
2025-07-11T20:18:02.030398,C-ELEGANS,0.3,0.01,0.4427,0.7168
2025-07-11T20:18:12.763749,C-ELEGANS,0.3,0.05,0.4299,0.5163
2025-07-11T20:18:23.206555,C-ELEGANS,0.3,0.1,0.5604,0.6488
2025-07-11T20:18:34.211514,C-ELEGANS,0.3,0.2,0.5,0.5
2025-07-11T20:18:46.827111,C-ELEGANS,0.4,0.001,0.6544,0.7113
2025-07-11T20:18:58.491957,C-ELEGANS,0.4,0.01,0.5887,0.7069
2025-07-11T20:19:09.323477,C-ELEGANS,0.4,0.05,0.6438,0.636
2025-07-11T20:19:21.047101,C-ELEGANS,0.4,0.1,0.6184,0.4061
2025-07-11T20:19:31.903176,C-ELEGANS,0.4,0.2,0.5,0.5
2025-07-11T20:19:43.777592,C-ELEGANS,0.5,0.001,0.5366,0.7693
2025-07-11T20:19:54.961051,C-ELEGANS,0.5,0.01,0.6552,0.7485
2025-07-11T20:20:05.881449,C-ELEGANS,0.5,0.05,0.7238,0.7104
2025-07-11T20:20:17.090605,C-ELEGANS,0.5,0.1,0.3652,0.7639
2025-07-11T20:20:30.324782,C-ELEGANS,0.5,0.2,0.5,0.5
